official,Banks - Regional,Basic Materials,Communication Services,Communications,Consumer Cyclical,Consumer Defensive,Consumer Discretionary,Consumer Goods,Consumer Staples,Cryptocurrency,Energy,Financial,Financial Services,Fund,Healthcare,Induistrial,Industrial Goods,Industrials,Information Technology,Medical,Oil & Gas Storage & Trpor,Real Estate,Retail/Wholesale,Services,Technology,Trust,Utilities
"Pfluger, August L.",0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phillips, Dean",0,20,25,0,42,41,0,0,0,0,1,0,94,0,45,0,0,73,0,0,0,15,0,0,68,0,17
"Price, David E.",0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0
"Reed, John F.",0,1,1,0,0,12,1,0,0,0,2,0,15,41,68,0,0,15,0,0,0,0,0,2,56,0,0
"Rice, Tom",0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,4,0,0,0,0,0,0,3,0,0
"Roberts, Pat",0,1,8,0,117,27,0,0,0,0,17,0,51,1,9,0,0,62,0,0,0,1,0,0,123,0,0
"Roe, David P.",0,0,2,0,3,2,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,4,0,0
"Rogers, Harold D.",0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rooney, Francis",0,2,0,0,7,3,0,0,0,0,1,0,4,2,4,0,0,3,0,0,0,1,0,0,3,0,0
"Rosen, Jacklyn S.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0
"Ross, Deborah K.",0,3,0,0,2,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,10,0,0
"Rouda, Harley E.",0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rouzer, David C.",0,0,1,0,1,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0
"Rutherford, John",0,2,7,0,5,6,0,0,0,0,2,0,8,0,5,0,0,6,0,0,0,1,0,0,3,0,3
"Sanchez, Linda T.",0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Schiff, Adam B.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0
"Schneider, Bradley S.",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schrader, Kurt",0,9,22,0,13,8,0,0,0,0,9,0,42,56,23,0,0,23,0,0,0,6,0,0,32,0,3
"Schrier, Kim",0,1,1,0,3,1,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0,15,0,1
"Schultz, Debbie W.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"Scott, Austin",0,0,2,0,10,0,0,0,0,0,7,0,1,0,2,0,0,20,0,0,0,0,0,0,21,0,12
"Scott, Robert C.",0,4,0,0,2,3,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,2,0,0
"Sessions, Pete",0,0,4,0,8,5,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,5,0,0,11,2,0
"Shalala, Donna",0,28,18,0,83,34,0,0,0,0,30,0,79,4,73,0,0,78,2,0,0,44,0,0,81,0,13
"Sherrill, Mikie",0,6,2,0,12,14,0,0,0,0,9,0,36,5,27,0,0,15,0,0,0,10,0,0,19,0,6
"Simpson, Michael K.",0,6,2,0,0,2,0,0,0,0,4,0,2,4,0,0,0,4,0,0,0,1,0,0,1,0,1
"Smith, Tina",0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0
"Smucker, Lloyd K.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0
"Spanberger, Abigail",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Spartz, Victoria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0
"Steube, William G.",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sullivan, Daniel S.",0,10,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
"Suozzi, Thomas",0,3,1,0,3,2,0,0,0,0,1,0,5,8,5,0,0,1,0,0,0,0,0,0,8,0,1
"Taylor, Nicholas V.",0,0,0,0,3,1,0,0,0,0,13,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
"Thune, John R.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tillis, Thomas R.",0,5,0,0,10,4,0,2,0,0,5,1,13,2,11,0,0,14,0,0,0,4,0,4,21,0,1
"Timmons, William R.",0,0,0,0,4,2,0,0,0,0,1,0,2,0,4,0,0,0,0,0,0,0,0,0,5,0,0
"Toomey, Patrick J.",0,2,7,0,9,4,0,0,0,0,16,0,31,38,18,0,0,6,0,0,1,4,0,0,5,3,4
"Trahan, Lori",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Trone, David",0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Tuberville, Thomas H.",0,59,1,0,23,10,0,0,0,0,15,1,15,6,15,0,0,21,0,0,0,0,0,0,84,4,1
"Udall, Thomas S.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Upton, Fred",0,0,2,0,2,3,0,0,0,0,2,0,4,2,0,0,0,4,0,0,0,0,0,0,1,0,0
"Visclosky, Peter J.",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Waltz, Michael",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Warner, Mark R.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,0
"Welch, Peter",0,0,0,0,2,6,0,0,0,0,1,0,5,0,7,2,0,6,0,0,0,1,0,0,13,0,3
"Whitehouse, Sheldon",0,4,40,0,105,63,0,0,0,0,7,0,76,5,103,0,3,69,0,0,0,7,0,1,138,1,4
"Wicker, Roger F.",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wittman, Robert J.",0,3,2,0,8,6,0,0,0,0,2,0,10,0,11,0,0,4,0,0,0,2,0,0,4,0,2
"Wyden, Ronald L.",0,3,3,0,62,15,0,0,0,0,5,0,6,0,0,0,0,19,0,0,0,3,0,0,105,0,0
"Yarmuth, John A.",0,5,6,0,9,6,0,0,0,0,6,0,22,1,21,0,0,8,0,0,0,4,0,0,12,0,2
