official,Banks - Regional,Basic Materials,Communication Services,Communications,Consumer Cyclical,Consumer Defensive,Consumer Staples,Cryptocurrency,Energy,Financial Services,Fund,Healthcare,Induistrial,Industrials,Information Technology,Medical,Real Estate,Retail/Wholesale,Services,Technology,Trust,Utilities
"Jacobs, Sara",0,2,2,0,6,4,0,0,0,7,0,10,0,5,0,0,2,0,0,11,0,2
"Jeffries, Hakeem S.",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Joyce, David P.",0,0,0,0,0,0,0,0,0,2,34,0,0,0,0,0,0,0,0,0,2,0
"Keating, William R.",0,0,0,0,5,4,0,0,4,5,0,6,0,7,0,0,1,0,0,14,0,0
"Kelly, Mike",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kennedy, Joseph P.",0,0,0,0,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Khanna, Rohit",0,10,20,0,27,28,0,0,0,48,0,22,0,33,0,0,6,0,0,41,0,7
"Kinzinger, Adam",0,0,0,0,0,9,0,0,0,0,2,0,0,6,6,0,0,0,0,0,0,0
"Kustoff, David",0,0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0
"Lamborn, Doug",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0
"Langevin, James R.",0,0,29,0,19,9,0,0,0,6,18,1,0,41,0,0,14,0,0,30,2,0
"Larson, John B.",0,2,0,0,5,5,0,0,3,3,0,8,0,2,0,0,0,0,0,5,0,0
"Latta, Robert E.",0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0
"Lee, Susie",0,25,9,2,157,42,0,0,19,34,3,53,0,97,0,0,57,0,1,118,0,2
"Lofgren, Zoe",0,1,14,0,18,19,0,0,0,37,1,29,0,13,0,0,12,0,0,23,0,14
"Long, Billy",0,0,False,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,23
"Lowenthal, Alan S.",0,13,14,0,80,3,0,0,0,60,79,28,0,66,0,0,12,0,0,174,0,13
"Luria, Elaine",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Malinowski, Tom",0,0,9,0,6,16,0,0,1,5,0,46,0,15,0,0,1,0,0,26,0,0
"Maloney, Sean P.",0,0,0,0,0,2,0,0,0,1,False,1,0,1,0,0,0,0,0,2,0,0
"Manning, Kathy",0,3,0,0,15,9,0,0,0,17,0,18,0,12,0,0,0,0,0,43,0,0
"Marchant, Kenny",0,3,1,0,15,6,0,0,12,13,5,15,0,15,0,0,3,0,0,18,0,2
"Marshall, Roger W.",0,0,4,0,12,0,0,0,1,0,0,4,0,0,0,0,0,0,0,13,0,0
"Massie, Thomas",0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mast, Brian",0,6,2,0,4,0,0,0,1,0,1,9,0,5,0,0,0,0,0,8,0,0
"Matsui, Doris O.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"McCaul, Michael T.",0,2,22,0,16,12,0,0,31,52,4,38,0,57,0,0,2,0,0,52,1,0
"McEachin, Aston D.",0,0,0,0,1,0,0,0,0,False,0,0,0,0,0,0,0,0,0,3,0,1
"McHenry, Patrick T.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"McKinley, David B.",0,13,0,0,23,17,0,0,0,7,0,15,0,34,0,0,0,0,0,37,0,0
"Meijer, Peter",0,17,6,0,27,24,0,0,8,50,1,41,0,28,0,0,5,0,0,45,0,9
"Meng, Grace",0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
"Meuser, Daniel",0,0,0,0,1,2,0,0,0,2,1,1,0,1,0,0,0,0,0,1,0,0
"Miller, Carol D.",0,1,0,0,2,12,0,0,4,2,0,8,0,5,0,0,0,0,0,4,0,3
"Moore, Blake",0,0,0,0,41,3,0,0,0,21,2,5,0,5,0,0,0,0,0,33,0,0
"Moore, Felix B.",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morelle, Joseph D.",0,0,1,0,1,1,0,0,1,3,0,3,0,1,0,0,0,0,0,4,0,1
"Newhouse, Dan",0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Newman, Marie",0,0,15,0,125,9,0,0,4,28,1,15,0,29,0,0,2,0,0,62,1,4
"O'Halleran, Tom",0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
"Pallone, Frank",0,0,0,0,1,3,0,0,False,1,0,0,0,2,0,0,0,0,0,1,0,1
"Pascrell, Bill",0,0,0,0,0,0,0,0,0,False,0,1,0,1,0,0,0,0,0,0,0,0
"Pelosi, Nancy",0,0,2,0,8,0,0,0,0,10,0,0,0,1,0,0,0,0,0,30,0,0
"Perlmutter, Ed",0,3,2,0,8,4,0,0,1,5,0,4,0,3,0,0,0,0,0,16,0,0
"Peters, Scott H.",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Pfluger, August L.",0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Phillips, Dean",0,20,25,0,41,41,0,0,1,94,0,45,0,73,0,0,15,0,0,68,0,17
"Price, David E.",0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0
"Rice, Tom",0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,0,0,0,3,0,0
"Roe, David P.",0,0,2,0,3,2,0,0,0,3,0,4,0,0,0,0,0,0,0,4,0,0
"Rogers, Harold D.",0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"Rooney, Francis",0,2,0,0,7,3,0,0,1,4,2,4,0,2,0,0,1,0,0,3,0,0
"Ross, Deborah K.",0,2,0,0,2,0,0,0,0,1,3,1,0,0,0,0,0,0,0,10,0,0
"Rouda, Harley E.",0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Rouzer, David C.",0,0,1,0,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0
"Rutherford, John",0,2,7,0,5,6,0,0,2,8,0,5,0,6,0,0,1,0,0,3,0,2
"Sanchez, Linda T.",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"Schiff, Adam B.",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"Schneider, Bradley S.",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Schrader, Kurt",0,9,22,0,13,8,0,0,8,42,56,23,0,23,0,0,6,0,0,32,0,3
"Schrier, Kim",0,1,1,0,3,1,0,0,0,4,0,4,0,4,0,0,0,0,0,14,0,1
"Schultz, Debbie W.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"Scott, Austin",0,0,2,0,10,0,0,0,7,1,0,2,0,20,0,0,0,0,0,20,0,12
"Scott, Robert C.",0,4,0,0,2,3,0,0,0,2,0,1,0,3,0,0,0,0,0,1,0,0
"Sessions, Pete",0,0,4,0,8,5,0,0,0,6,3,0,0,0,0,0,4,0,0,11,2,0
"Shalala, Donna",0,28,18,0,82,34,0,0,30,79,4,73,0,78,2,0,44,0,0,81,0,13
"Sherrill, Mikie",0,6,2,0,12,14,0,0,9,36,5,26,0,15,0,0,10,0,0,19,0,6
"Simpson, Michael K.",0,6,2,0,0,2,0,0,4,2,4,0,0,3,0,0,1,0,0,1,0,1
"Smucker, Lloyd K.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0
"Spanberger, Abigail",0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
"Spartz, Victoria",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0
"Steube, William G.",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Suozzi, Thomas",0,3,1,0,3,2,0,0,1,5,8,5,0,1,0,0,0,0,0,7,0,1
"Taylor, Nicholas V.",0,0,0,0,3,1,0,0,12,0,0,3,0,1,0,0,0,0,0,0,0,0
"Timmons, William R.",0,0,0,0,4,2,0,0,1,2,0,3,0,0,0,0,0,0,0,5,0,0
"Trahan, Lori",0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0
"Trone, David",0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,0,0
"Upton, Fred",0,0,2,0,2,3,0,0,2,4,2,0,0,4,0,0,0,0,0,False,0,0
"Visclosky, Peter J.",0,0,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Waltz, Michael",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Welch, Peter",0,0,0,0,1,6,0,0,1,5,0,7,2,6,0,0,1,0,0,13,0,3
"Wittman, Robert J.",0,3,2,0,8,5,0,0,2,10,0,11,0,4,0,0,2,0,0,4,0,2
"Yarmuth, John A.",0,5,6,0,9,6,0,0,6,22,1,21,0,7,0,0,4,0,0,12,0,2
