ticker,sector
CC,Basic Materials
CCI,Real Estate
CDK,Technology
CDLX,Communication Services
CE,Basic Materials
CEA,Industrials
CEQP,Energy
CERN,Healthcare
CFA,Fund
CFG,Financial Services
CFR,Financial Services
CG,Financial Services
CGNT,Technology
CGNX,Technology
CHCO,Financial Services
CHE,Healthcare
CHEF,Consumer Defensive
CHK,Energy
CHKP,Technology
CHRW,Industrials
CHTR,Communication Services
CIBR,Fund
CIT,Financial Services
CLB,Energy
CLC,Fund
CLF,Basic Materials
CLR,Energy
CLX,Consumer Defensive
CMA,Financial Services
CMCSA,Communication Services
CMCSK,Fund
CME,Financial Services
CMG,Consumer Cyclical
CMI,Industrials
CMN,Fund
CMO,Real Estate
CMPGY,Consumer Cyclical
CMRE,Industrials
CNR,Industrials
CNSL,Communication Services
COF,Financial Services
COH,Fund
COHR,Technology
CONE,Real Estate
COP,Energy
COR,Real Estate
COST,Consumer Defensive
COUP,Technology
CP,Industrials
CPGX,Fund
CPSI,Healthcare
CR,Industrials
CRMT,Consumer Cyclical
CRSP,Healthcare
CRWD,Technology
CSCO,Technology
CSX,Industrials
CTAS,Industrials
CTBI,Financial Services
CTCT,Fund
CTSH,Technology
CTVA,Basic Materials
CTXS,Technology
CUTR,Healthcare
CVC,Fund
CVET,Healthcare
CVG,Fund
CVS,Healthcare
CVX,Energy
CWEN,Utilities
CYBX,Fund
CYS,Fund
CZR,Consumer Cyclical
DAL,Industrials
DBP,Fund
DCP,Energy
DD,Basic Materials
DDOG,Technology
DECK,Consumer Cyclical
DEO,Consumer Defensive
DFS,Financial Services
DG,Consumer Defensive
DGRS,Fund
DGX,Healthcare
DHI,Consumer Cyclical
DHR,Healthcare
DIOD,Technology
DIS,Communication Services
DISCA,Communication Services
DISH,Communication Services
DLR,Real Estate
DOW,Basic Materials
DPS,Fund
DPZ,Consumer Cyclical
DRI,Consumer Cyclical
DRQ,Energy
DTE,Utilities
DVA,Healthcare
DVFAX,Fund
DVMT,Fund
DVN,Energy
DWX,Fund
DXCM,Healthcare
EA,Communication Services
EADSY,Industrials
EAF,Industrials
EBAY,Consumer Cyclical
EC,Energy
ECL,Basic Materials
ECOM,Technology
EDIT,Healthcare
EEFT,Technology
EEM,Fund
EGBN,Financial Services
EL,Consumer Defensive
EMC,Fund
EMR,Industrials
ENB,Energy
ENLC,Energy
ENTG,Technology
ENTL,Fund
EPAY,Technology
EPD,Energy
EPP,Fund
EPR,Real Estate
ERIC,Technology
ES,Utilities
ESLOY,Healthcare
ESRX,Fund
ESS,Real Estate
ET,Energy
ETE,Fund
ETN,Industrials
ETP,Fund
ETR,Utilities
ETY,Financial Services
EVOP,Technology
EVR,Financial Services
EXC,Utilities
EXP,Basic Materials
EXPI,Real Estate
EXR,Real Estate
F,Consumer Cyclical
FANG,Energy
FANUY,Industrials
FAST,Industrials
FB,Communication Services
FCNTX,Fund
FCPIX,Fund
FCX,Basic Materials
FDS,Financial Services
FDSWX,Fund
FDX,Industrials
FE,Utilities
FEMS,Fund
FET,Energy
FEYE,Technology
FFBC,Financial Services
FIMKX,Fund
FINX,Fund
FIS,Technology
FITB,Financial Services
FL,Consumer Cyclical
FLMVX,Fund
FLR,Industrials
FMBI,Financial Services
FMER,Fund
FNF,Financial Services
FNKO,Consumer Cyclical
FOX,Communication Services
FOXA,Communication Services
FPL,Financial Services
FRIAX,Fund
FRT,Real Estate
FTNT,Technology
FXI,Fund
GAN,Consumer Cyclical
GAS,Fund
GBIL,Fund
GD,Industrials
GDDY,Technology
GDV,Financial Services
GDXJ,Fund
GE,Industrials
GEL,Energy
GEM,Fund
GEMIX,Fund
GFAFX,Fund
GGG,Industrials
GGSM,Basic Materials
GILD,Healthcare
GIS,Consumer Defensive
GLD,Fund
GLNCY,Basic Materials
GLW,Technology
GM,Consumer Cyclical
GMAB,Healthcare
GME,Consumer Cyclical
GMED,Healthcare
GNRC,Industrials
GNTX,Consumer Cyclical
GOLD,Basic Materials
GOOG,Communication Services
GOOGL,Communication Services
GPK,Consumer Cyclical
GPRO,Technology
GRMN,Technology
GRUB,Consumer Cyclical
GS,Financial Services
GSK,Healthcare
GSMYX,Fund
GTCSX,Fund
GTX,Consumer Cyclical
GWW,Industrials
HACK,Fund
HAL,Energy
HALO,Healthcare
HAS,Consumer Cyclical
HASI,Real Estate
HBAN,Financial Services
HBI,Consumer Cyclical
HCA,Healthcare
HCC,Basic Materials
HCSG,Healthcare
HD,Consumer Cyclical
HEI,Industrials
HELE,Consumer Defensive
HIG,Financial Services
HLT,Consumer Cyclical
HLX,Energy
HMC,Consumer Cyclical
HNI,Industrials
HOLX,Healthcare
HON,Industrials
HOT,Fund
HPQ,Technology
HQL,Financial Services
HRL,Consumer Defensive
HSBC,Financial Services
HSIC,Healthcare
HSY,Consumer Defensive
HTGC,Financial Services
HTS,Fund
HUB-B,Fund
HUBG,Industrials
HUN,Basic Materials
HXL,Industrials
HYH,Fund
HYT,Financial Services
IAI,Fund
IART,Healthcare
IAT,Fund
IBM,Technology
ICE,Financial Services
ICUI,Healthcare
IDV,Fund
IDXX,Healthcare
IEX,Industrials
IHE,Fund
IIN,Healthcare
IJH,Fund
IJR,Fund
IJS,Fund
ILF,Fund
ILMN,Healthcare
INCY,Healthcare
INFY,Technology
INTC,Technology
INTU,Technology
IONS,Healthcare
IPCM,Fund
IQV,Healthcare
IR,Industrials
IRBT,Technology
IRM,Real Estate
ISIS,Fund
ISRG,Healthcare
ITC,Fund
ITW,Industrials
IVV,Fund
IVZ,Financial Services
IWD,Fund
IWF,Fund
IWM,Fund
IWN,Fund
IXP,Fund
IYE,Fund
IYT,Fund
J,Industrials
JCI,Industrials
JCOM,Technology
JD,Consumer Cyclical
JETS,Fund
JJSF,Consumer Defensive
JKHY,Technology
JNJ,Healthcare
JNK,Fund
JPM,Financial Services
JWN,Consumer Cyclical
K,Consumer Defensive
KAR,Consumer Cyclical
KDP,Consumer Defensive
KEY,Financial Services
KEYS,Technology
KHC,Consumer Defensive
KL,Basic Materials
KLAC,Technology
KLXI,Fund
KMB,Consumer Defensive
KMI,Energy
KMP,Fund
KMX,Consumer Cyclical
KN,Technology
KNX,Industrials
KO,Consumer Defensive
KORS,Fund
KR,Consumer Defensive
KRFT,Fund
KSS,Consumer Cyclical
KSU,Industrials
KWEB,Fund
KWR,Basic Materials
KYCCF,Technology
LBTYA,Communication Services
LBTYK,Communication Services
LDP,Financial Services
LDR,Fund
LEA,Consumer Cyclical
LECO,Industrials
LGF-B,Communication Services
LGI,Financial Services
LGP,Fund
LH,Healthcare
LHX,Industrials
LIN,Basic Materials
LINE,Fund
LL,Consumer Cyclical
LLTC,Fund
LLY,Healthcare
LMACU,Financial Services
LMGEX,Fund
LMRK,Real Estate
LMT,Industrials
LNC,Financial Services
LNG,Energy
LNKD,Fund
LNT,Utilities
LOCK,Fund
LOW,Consumer Cyclical
LQDT,Consumer Cyclical
LRCX,Technology
LRLCY,Consumer Defensive
LSCC,Technology
LSTR,Industrials
LUBFX,Fund
LULU,Consumer Cyclical
LVLT,Fund
LVMUY,Consumer Cyclical
LVS,Consumer Cyclical
LW,Consumer Defensive
LYB,Basic Materials
LYV,Communication Services
M,Consumer Cyclical
MA,Financial Services
MALOX,Fund
MANT,Technology
MAR,Consumer Cyclical
MASI,Healthcare
MAT,Consumer Cyclical
MAXR,Technology
MBXIX,Fund
MCD,Consumer Cyclical
MCHP,Technology
MCK,Healthcare
MCO,Financial Services
MDC,Consumer Cyclical
MDDVX,Fund
MDLZ,Consumer Defensive
MDT,Healthcare
MET,Financial Services
MFCDX,Fund
MFRM,Fund
MG,Industrials
MGA,Consumer Cyclical
MGEMX,Fund
MGRC,Industrials
MKC,Consumer Defensive
MLPRX,Fund
MMC,Financial Services
MMM,Industrials
MNRO,Consumer Cyclical
MO,Consumer Defensive
MOS,Basic Materials
MPC,Energy
MPLX,Energy
MPW,Real Estate
MPWR,Technology
MRAAY,Technology
MRVL,Technology
MS,Financial Services
MSACX,Fund
MSFT,Technology
MSM,Industrials
MTB,Financial Services
MTCH,Communication Services
MTD,Healthcare
MTUM,Fund
MU,Technology
NCR,Technology
NDAQ,Financial Services
NDSN,Industrials
NEE,Utilities
NFLX,Communication Services
NFX,Fund
NGG,Utilities
NGIPX,Fund
NGLS,Fund
NICE,Technology
NKE,Consumer Cyclical
NKLA,Consumer Cyclical
NNVC,Healthcare
NOC,Industrials
NOG,Energy
NOK,Technology
NOV,Energy
NPK,Industrials
NPSND,Fund
NPSNY,Communication Services
NRDY,Technology
NSC,Industrials
NSR,Basic Materials
NSRGY,Consumer Defensive
NTAP,Technology
NTES,Communication Services
NTI,Fund
NTLA,Healthcare
NTRA,Healthcare
NUAN,Technology
NUE,Basic Materials
NVAX,Healthcare
NVDA,Technology
NVO,Healthcare
NVS,Healthcare
NWL,Consumer Defensive
NWS,Communication Services
NWSA,Communication Services
NXPI,Technology
NXTG,Fund
O,Real Estate
OAYIX,Fund
ODFL,Industrials
OFC,Real Estate
OGN,Healthcare
OHI,Real Estate
OKS,Fund
OLN,Basic Materials
OMCL,Healthcare
ON,Technology
ONEQ,Fund
ORCL,Technology
ORLY,Consumer Cyclical
OSK,Industrials
OTIS,Industrials
OXY,Energy
PAA,Energy
PAAS,Basic Materials
PACW,Financial Services
PAGS,Technology
PANW,Technology
PAYX,Industrials
PBA,Energy
PBCT,Financial Services
PBH,Healthcare
PCAR,Industrials
PCLN,Fund
PCP,Fund
PCY,Fund
PDM,Real Estate
PDRDY,Consumer Defensive
PEB,Real Estate
PEGA,Technology
PENN,Consumer Cyclical
PEP,Consumer Defensive
PEY,Fund
PFE,Healthcare
PG,Consumer Defensive
PGH,Fund
PGR,Financial Services
PII,Consumer Cyclical
PINS,Communication Services
PKG,Consumer Cyclical
PL,Fund
PLD,Real Estate
PLKI,Fund
PLUG,Industrials
PM,Consumer Defensive
PNM,Utilities
PNQI,Fund
PODD,Healthcare
POT,Fund
POWI,Technology
PPG,Basic Materials
PPL,Utilities
PRA,Financial Services
PRAA,Financial Services
PRE,Fund
PRGO,Healthcare
PRIM,Industrials
PRJAX,Fund
PRLB,Industrials
PRNHX,Fund
PRPFX,Fund
PRU,Financial Services
PSA,Real Estate
PSQ,Fund
PSX,Energy
PSXP,Energy
PTEN,Energy
PTLC,Fund
PTMC,Fund
PTNQ,Fund
PTON,Consumer Cyclical
PWE,Fund
PYPL,Financial Services
Q,Fund
QCOM,Technology
QLEIX,Fund
QLIK,Fund
QQQ,Fund
QRTEA,Consumer Cyclical
QRTEP,Consumer Cyclical
QSR,Consumer Cyclical
QTEC,Fund
RAI,Fund
RAVN,Industrials
RBA,Industrials
RBGLY,Consumer Defensive
RCL,Consumer Cyclical
RDS-A,Energy
RDS-B,Energy
RDSA.AS,Energy
REGN,Healthcare
REZI,Industrials
RHHBY,Healthcare
RHI,Industrials
RIG,Energy
RIO,Basic Materials
RL,Consumer Cyclical
RMD,Healthcare
RNWK,Communication Services
ROC,Fund
RODM,Fund
ROK,Industrials
ROLL,Industrials
ROP,Industrials
ROST,Consumer Cyclical
RPM,Basic Materials
RRC,Energy
RRTS,Industrials
RSP,Fund
RSPP,Fund
RTH,Fund
RYAAY,Industrials
RYAM,Basic Materials
RYN,Real Estate
RYT,Fund
SABR,Technology
SAFRY,Industrials
SAP,Technology
SBGI,Communication Services
SBIO,Fund
SBUX,Consumer Cyclical
SCCO,Basic Materials
SCG,Fund
SCHW,Financial Services
SDOG,Fund
SDY,Fund
SE,Communication Services
SEIC,Financial Services
SFTBY,Communication Services
SGAPY,Communication Services
SGY,Fund
SH,Fund
SHECY,Basic Materials
SHOO,Consumer Cyclical
SHPG,Fund
SHW,Basic Materials
SHY,Fund
SI,Financial Services
SIEGY,Industrials
SIGI,Financial Services
SIL,Fund
SIVB,Financial Services
SJM,Consumer Defensive
SJR,Communication Services
SLB,Energy
SLY,Fund
SMECF,Industrials
SMEZ,Fund
SMG,Basic Materials
SMTC,Technology
SNA,Industrials
SNAP,Communication Services
SNY,Healthcare
SO,Utilities
SOJA,Fund
SOUHY,Basic Materials
SPG,Real Estate
SPSC,Technology
SPY,Fund
SQ,Technology
SQI,Fund
SRCL,Industrials
SRE,Utilities
SRVR,Fund
SSB,Financial Services
SSYS,Technology
ST,Technology
STAG,Real Estate
STE,Healthcare
STT,Financial Services
STX,Technology
STZ,Consumer Defensive
SU,Energy
SWI,Technology
SWKS,Technology
SWN,Energy
SXT,Basic Materials
SYF,Financial Services
SYK,Healthcare
SYY,Consumer Defensive
T,Communication Services
TAL,Consumer Defensive
TAP,Consumer Defensive
TBF,Fund
TBT,Fund
TCAP,Fund
TCEHY,Communication Services
TCMD,Healthcare
TCS,Consumer Cyclical
TD,Financial Services
TDG,Industrials
TDY,Technology
TECH,Healthcare
TEL,Technology
TER,Technology
TEVA,Healthcare
TEX,Industrials
TFC,Financial Services
TFX,Healthcare
TGBAX,Fund
TGT,Consumer Defensive
THRM,Consumer Cyclical
THS,Consumer Defensive
TJX,Consumer Cyclical
TLLP,Fund
TM,Consumer Cyclical
TMO,Healthcare
TMUS,Communication Services
TNGO,Fund
TOLLX,Fund
TRGP,Energy
TRIP,Consumer Cyclical
TRIT,Technology
TROW,Financial Services
TRP,Energy
TRV,Financial Services
TSCIX,Fund
TSCO,Consumer Cyclical
TSLA,Consumer Cyclical
TSM,Technology
TSN,Consumer Defensive
TTC,Industrials
TTD,Technology
TU,Communication Services
TUMI,Fund
TUP,Consumer Cyclical
TWO,Real Estate
TWTR,Communication Services
TWX,Fund
TXN,Technology
TXRH,Consumer Cyclical
UA,Consumer Cyclical
UAA,Consumer Cyclical
UBER,Technology
UBSI,Financial Services
UHAL,Industrials
UL,Consumer Defensive
UMPQ,Financial Services
UNFI,Consumer Defensive
UNH,Healthcare
UNP,Industrials
UPS,Industrials
URBN,Consumer Cyclical
URI,Industrials
USB,Financial Services
V,Financial Services
VAC,Consumer Cyclical
VADDX,Fund
VDC,Fund
VEA,Fund
VEEV,Healthcare
VEVIX,Fund
VFC,Consumer Cyclical
VFIJX,Fund
VGK,Fund
VGR,Consumer Defensive
VIAC,Communication Services
VIAV,Technology
VIXY,Fund
VLO,Energy
VLP,Fund
VMC,Basic Materials
VMIIX,Fund
VMW,Technology
VOD,Communication Services
VOO,Fund
VPMAX,Fund
VPU,Fund
VR,Fund
VRM,Consumer Cyclical
VRTX,Healthcare
VRX,Fund
VSAT,Technology
VSMIX,Fund
VTKLY,Technology
VTR,Real Estate
VTRS,Healthcare
VVC,Fund
VWO,Fund
VZ,Communication Services
W,Consumer Cyclical
WAB,Industrials
WAL,Financial Services
WASCX,Fund
WASH,Financial Services
WAT,Healthcare
WBA,Healthcare
WCMIX,Fund
WCN,Industrials
WDAY,Technology
WDC,Technology
WEC,Utilities
WETF,Financial Services
WEX,Technology
WF,Financial Services
WFC,Financial Services
WFM,Fund
WIW,Financial Services
WLK,Basic Materials
WM,Industrials
WMB,Energy
WMT,Consumer Defensive
WOOF,Consumer Cyclical
WPC,Real Estate
WPZ,Fund
WRK,Consumer Cyclical
WST,Healthcare
WSTMX,Fund
WW,Consumer Cyclical
WY,Real Estate
X,Basic Materials
XAR,Fund
XBI,Fund
XCAPX,Fund
XEL,Utilities
XLI,Fund
XLNX,Technology
XLU,Fund
XLV,Fund
XLY,Fund
XOM,Energy
XPO,Industrials
XRAY,Healthcare
XRT,Fund
XSD,Fund
XSLV,Fund
YACKX,Fund
YHOO,Fund
YUM,Consumer Cyclical
YUMC,Consumer Cyclical
ZBH,Healthcare
ZIOP,Healthcare
ZM,Technology
ZMH,Fund
ZNGA,Communication Services
ZTS,Healthcare
