industry,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Industrial Products,0,0,23,14,19,28,20,35,197,149
Information Technology Services,0,0,0,0,1,0,1,0,6,4
Infrastructure Operations,0,0,0,0,0,0,3,6,3,0
Insurance,0,0,4,1,0,1,2,13,86,66
Insurance - Life,0,0,6,1,7,8,4,4,36,19
Insurance - Property & Casualty,0,0,2,3,4,4,5,13,52,42
Insurance - Specialty,0,0,2,0,0,0,0,5,8,10
Insurance Brokers,0,0,0,0,0,0,0,0,0,3
Insurance—Diversified,0,0,0,0,3,3,4,2,14,4
Insurance—Life,0,0,0,0,0,0,0,7,6,10
Insurance—Property & Casualty,0,0,0,0,0,0,0,0,2,8
Insurance—Reinsurance,0,0,0,0,0,0,0,0,1,0
Insurance—Specialty,0,0,3,1,0,0,0,0,0,1
Integrated Freight & Logistics,0,0,0,0,0,0,0,0,2,0
Internet,0,0,3,0,0,0,0,0,0,0
Internet Content & Information,0,0,0,0,0,0,0,7,17,32
Internet Retail,0,0,0,0,0,0,0,1,0,18
Leisure,0,0,1,1,1,0,0,2,13,19
Lodging,0,0,0,0,0,0,0,5,5,3
Luxury Goods,0,0,0,1,0,False,0,3,12,1
Major Pharmaceutical Preparations,0,0,0,0,0,0,0,0,2,2
Manufacturing - Apparel & Furniture,0,0,12,12,16,26,16,22,48,27
Marine Shipping,0,0,0,0,0,0,0,0,2,False
Media,0,0,0,12,0,0,0,0,0,0
Medical Devices,0,0,0,6,10,10,21,17,111,73
Medical Diagnostics & Research,0,0,4,7,17,11,8,29,120,71
Medical Distribution,0,0,6,1,3,2,0,0,6,8
Medical Instruments & Equipment,0,0,5,19,30,8,6,17,74,33
Medical Instruments & Supplies,0,0,0,0,0,0,0,2,8,5
Metals & Mining,0,0,1,1,1,1,0,13,27,76
Mortgage Finance,0,0,0,0,0,0,0,0,0,1
Oil & Gas - Drilling,0,0,2,1,0,False,0,2,0,2
Oil & Gas - E&P,0,0,7,33,13,17,29,36,50,51
Oil & Gas - Integrated,0,0,6,6,5,15,21,26,106,44
Oil & Gas - Midstream,0,0,4,33,46,24,48,65,285,225
Oil & Gas - Refining & Marketing,0,0,2,2,2,0,8,7,69,36
Oil & Gas - Services,0,0,7,8,4,10,6,16,42,28
Oil & Gas E&P,0,0,0,0,0,0,0,0,3,2
Oil & Gas Equipment & Services,0,0,0,0,0,0,0,0,4,7
Oil & Gas Integrated,0,0,0,0,1,1,4,6,13,5
Oil & Gas Midstream,0,0,0,0,0,0,2,4,27,23
Oil & Gas Refining & Marketing,0,0,0,False,0,0,0,0,2,0
Oil and Gas,0,0,0,0,2,0,0,0,0,0
"Oil, Gas, & Consumable Fuels",0,0,0,0,0,False,0,0,0,0
Online Media,0,0,23,5,22,15,16,25,154,166
Other Industrial Metals & Mining,0,0,0,0,0,1,0,0,False,2
Other Precious Metals & Mining,0,0,0,0,0,0,0,0,0,False
Packaged Foods,0,0,2,0,2,3,3,16,31,10
Packaging & Containers,0,0,3,6,0,8,12,21,60,23
Paper & Paper Products,0,0,0,0,0,0,0,0,0,4
Personal Services,0,0,0,0,0,5,6,2,20,10
Publishing,0,0,False,0,0,0,0,1,3,6
REITs,0,0,9,4,11,16,3,60,160,91
REIT—Diversified,0,0,0,0,0,0,0,0,1,False
REIT—Healthcare Facilities,0,0,0,0,0,0,0,0,5,0
REIT—Hotel & Motel,0,0,0,0,0,0,0,0,1,False
REIT—Retail,0,0,0,0,0,0,0,1,0,0
Railroads,0,0,0,0,0,0,0,0,2,1
Real Estate,0,0,3,1,0,0,0,0,1,False
Real Estate Services,0,0,0,1,0,0,0,1,32,39
Real Estate—Development,0,0,0,0,0,0,0,0,1,0
Real Estate—Diversified,0,0,0,0,0,0,0,0,1,0
Residential Construction,0,0,0,0,0,0,0,0,2,0
Resorts & Casinos,0,0,0,0,0,0,0,0,0,1
Restaurants,0,0,7,6,10,14,8,18,90,42
Retail,0,0,0,1,8,13,0,0,0,0
Retail - Apparel & Specialty,0,0,19,20,15,45,42,53,275,206
Retail - Defensive,0,0,3,7,10,32,28,26,192,81
Scientific & Technical Instruments,0,0,0,0,0,1,0,False,3,5
Security & Protection Services,0,0,0,0,1,0,2,1,2,4
Semiconductor Equipment & Materials,0,0,0,0,0,0,0,0,2,2
Semiconductors,0,0,15,14,16,55,35,68,352,214
Shell Companies,0,0,1,0,0,0,0,0,22,15
Software,0,0,0,0,0,0,0,2,6,5
Software - Application,0,0,0,0,0,0,0,0,1,2
Software—Application,0,0,0,0,0,0,0,11,38,48
Software—Infrastructure,0,0,0,0,0,0,0,3,34,37
Solar,0,0,0,0,0,0,0,0,1,0
Specialty Business Services,0,0,0,0,0,0,0,0,1,1
Specialty Chemicals,0,0,0,0,0,1,1,7,23,17
Specialty Industrial Machinery,0,0,0,0,0,3,2,8,52,22
Specialty Retail,0,0,0,0,7,False,0,0,4,10
Specialty Telecommunications,0,0,0,0,0,0,0,0,0,1
Staffing & Employment Services,0,0,0,0,0,0,0,0,False,0
Steel,0,0,0,0,1,0,0,2,3,10
Telecom Services,0,0,0,0,0,3,0,1,19,17
Telecommunication Services,0,0,0,0,0,0,0,0,1,0
Telecommunications,0,0,0,1,0,False,0,0,2,0
Textile Manufacturing,0,0,0,0,0,0,0,0,False,0
Tobacco,0,0,0,0,1,False,0,0,6,0
Tobacco Products,0,0,1,0,1,3,0,7,31,16
Tools & Accessories,0,0,0,0,0,0,0,2,1,0
Transportation & Logistics,0,0,12,6,10,9,22,38,80,69
Travel & Leisure,0,0,3,2,6,23,11,38,88,60
Travel Services,0,0,0,0,0,0,1,4,25,20
Truck Manufacturing,0,0,2,1,0,0,0,0,5,3
Trust,0,0,1,1,0,0,0,6,6,9
Utilities,0,0,0,2,False,0,0,0,0,0
Utilities - Independent Power Producers,0,0,0,0,0,0,0,1,7,10
Utilities - Regulated,0,0,12,10,10,21,8,18,176,79
Utilities - Regulated Water,0,0,0,0,0,0,0,0,False,0
Utilities--Regulated Electric,0,0,0,0,0,False,0,0,0,0
Utilities—Diversified,0,0,0,0,0,0,0,0,4,0
Utilities—Regulated Electric,0,0,0,0,0,0,0,0,2,False
Utilities—Regulated Gas,0,0,0,0,0,0,0,0,4,3
Utilities—Regulated Water,0,0,0,0,0,0,0,0,1,0
Utilities—Renewable,0,0,0,0,0,0,0,3,6,2
Waste Management,0,0,4,1,7,1,0,2,22,3
