industry,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Semiconductors,0,0,15,14,16,55,35,41,74,37
Shell Companies,0,0,1,0,0,0,0,0,0,1
Software—Application,0,0,0,0,0,0,0,0,5,4
Software—Infrastructure,0,0,0,0,0,0,0,0,4,3
Specialty Chemicals,0,0,0,0,0,1,2,0,0,0
Specialty Industrial Machinery,0,0,0,0,0,3,2,1,4,0
Specialty Retail,0,0,0,0,7,1,0,0,0,0
Specialty Telecommunications,0,0,0,0,0,0,0,0,0,2
Steel,0,0,0,0,1,0,0,0,0,10
Telecom Services,0,0,0,0,0,3,0,1,2,0
Telecommunications,0,0,0,1,0,1,0,0,0,0
Tobacco,0,0,0,0,1,1,0,0,0,0
Tobacco Products,0,0,1,0,1,3,0,3,3,0
Transportation & Logistics,0,0,12,6,10,9,22,31,15,3
Travel & Leisure,0,0,3,2,6,23,11,25,27,1
Travel Services,0,0,0,0,0,0,1,2,4,0
Truck Manufacturing,0,0,2,1,0,0,0,0,3,0
Trust,0,0,1,1,0,0,0,4,3,6
Utilities,0,0,0,2,1,0,0,0,0,0
Utilities - Independent Power Producers,0,0,0,0,0,0,0,0,0,1
Utilities - Regulated,0,0,12,10,10,21,8,3,3,2
Utilities--Regulated Electric,0,0,0,0,0,1,0,0,0,0
Utilities—Renewable,0,0,0,0,0,0,0,0,0,1
Waste Management,0,0,4,1,7,1,0,0,1,0
