industry,transaction_date,number_of_transactions
REIT—Hotel & Motel,2021/01/08,1
Mortgage Finance,2021/01/06,1
Software - Application,2020/12/10,1
Farm Products,2020/11/20,1
Financial Services,2020/11/13,1
Textile Manufacturing,2020/11/13,1
Solar,2020/11/05,1
Congolmerates,2020/07/15,1
Residential Construction,2020/05/07,1
Telecommunication Services,2020/04/28,1
Utilities—Regulated Water,2020/04/27,1
Electric Utilities,2020/04/16,1
Infrastructure Operations,2020/04/14,1
Other Industrial Metals & Mining,2020/04/07,1
Utilities - Regulated Water,2020/03/19,1
Financial Conglomerates,2020/03/18,1
Staffing & Employment Services,2020/03/18,1
Beverages,2020/03/18,1
Real Estate—Development,2020/03/18,1
Insurance—Reinsurance,2020/03/18,1
Real Estate—Diversified,2020/03/18,1
Food stores,2020/03/18,1
Advertising Agencies,2020/01/10,1
REIT—Retail,2019/06/24,1
Tools & Accessories,2019/03/19,1
Beverages – Alcoholic,2019/03/11,1
Electronic Components,2019/03/11,1
Scientific & Technical Instruments,2019/03/11,1
Beverages—Brewers,2019/03/11,1
Health Care Equipment & Supplies,2018/10/30,1
Telecommunications,2017/11/01,1
Health Services,2017/05/12,1
Specialty Retail,2017/04/04,1
"Oil, Gas, & Consumable Fuels",2017/03/24,1
Electronics,2017/03/14,1
Banks - Regional,2017/02/03,1
Utilities--Regulated Electric,2017/01/25,1
Energy,2016/12/14,1
Food Distribution,2016/05/11,1
Utilities,2016/01/08,1
Oil & Gas Refining & Marketing,2015/12/04,1
Energy & Utilities,2015/05/01,1
Consumer NonDurables,2015/02/13,1
Advertising & Marketing Services,2015/02/13,1
Automotive,2015/02/13,1
Defense,2015/02/12,1
Aerospace/Defense,2014/12/18,1
Internet,2014/07/29,1
Coal,2014/07/23,1
Banking,2014/05/07,1
