official,Exchange,Purchase,Sale (Full),Sale (Partial),total
"Latta, Robert E.",0,0.0,0,0,0.07
"Lee, Susie",0.33,112.67,46.0,47.33,206.67
"Lofgren, Zoe",0.04,3.89,2.81,0.04,6.81
"Long, Billy",0,0,2.45,0,2.55
"Lowenthal, Alan S.",1.33,27.33,10.78,25.33,64.89
"Luria, Elaine",0,1.0,0.0,0,1.33
"Malinowski, Tom",0,20.0,9.67,12.0,42.0
"Maloney, Carolyn B.",0,0.1,0.03,0.07,0.24
"Maloney, Sean P.",0,0,0.78,0,0.89
"Manning, Kathy",0,67.0,3.0,50.0,121.0
"Marchant, Kenny",0,4.31,2.44,0,6.81
"Marshall, Roger W.",0,4.0,3.0,0.2,7.4
"Massie, Thomas",0,0,0,0.0,0.1
"Mast, Brian",0,3.6,2.8,0.8,7.4
"Matsui, Doris O.",0,0.35,0.47,0,0.88
"McCaul, Michael T.",0,12.47,10.76,0.12,23.41
"McEachin, Aston D.",0,1.0,0,0,1.2
"McHenry, Patrick T.",0,0,0.0,0,0.06
"McKinley, David B.",0.27,7.27,3.0,2.82,13.45
"Meijer, Peter",0,18.0,200.0,47.0,266.0
"Meng, Grace",0.0,0,0,0,0.11
"Meuser, Daniel",0,0,1.33,1.67,3.33
"Miller, Carol D.",0,7.67,6.0,0,14.0
"Moore, Blake",0,90.0,20.0,0,111.0
"Moore, Felix B.",0,5.0,0,0.0,6.0
"Morelle, Joseph D.",0.25,0,3.75,0,4.25
"Moulton, Seth",0,0.0,0.14,0,0.29
"Newhouse, Dan",0,0,0.0,0,0.14
"Newman, Marie",0,145.0,150.0,0,296.0
"Norton, Eleanor H.",0,0.06,0.03,0,0.13
"O'Halleran, Tom",0,0,0.2,0,0.4
"Pallone, Frank",0,0,0.14,0.11,0.29
"Pascrell, Bill",0,0,0.08,0,0.12
"Pelosi, Nancy",0,1.17,0.11,0.31,1.63
"Perlmutter, Ed",0,1.4,0.53,1.13,3.13
"Peters, Scott H.",0,3.22,4.89,3.0,11.22
"Pfluger, August L.",2.0,6.0,3.0,0,12.0
"Phillips, Dean",1.0,89.33,28.0,52.67,171.33
"Pingree, Chellie",0,0.15,0.08,0.08,0.38
"Price, David E.",0.09,0.3,0.03,0,0.45
"Raskin, Jamie",0,0,0.0,0,0.2
"Rice, Tom",0,0.11,1.0,0,1.22
"Roe, David P.",0,1.33,0.17,0,1.58
"Rogers, Harold D.",0.05,0.22,0.2,0,0.49
"Rooney, Francis",0,9.75,4.25,0.75,15.0
"Ross, Deborah K.",0,18.0,0,1.0,20.0
"Rouda, Harley E.",0,0.5,2.5,0,3.5
"Rouzer, David C.",0,0.57,0.43,0.43,1.57
"Rutherford, John",0,4.0,5.4,0,9.6
"Sanchez, Linda T.",0,0,0.21,0,0.26
"Schiff, Adam B.",0,0,0.1,0.05,0.19
"Schneider, Bradley S.",0,0,0,0.86,1.0
"Schrader, Kurt",0,10.08,9.77,0.08,20.0
"Schrier, Kim",0,1.0,10.0,0,11.33
"Schultz, Debbie W.",0,0.53,0,0,0.59
"Scott, Austin",0,3.55,2.73,0.45,6.82
"Scott, Robert C.",0,0,0.55,0,0.59
"Sessions, Pete",0,1.78,0.17,0.04,2.04
"Shalala, Donna",0.5,86.5,158.5,37.5,283.5
"Sherrill, Mikie",0,8.0,45.0,0.33,53.67
"Simpson, Michael K.",0,0.26,0.83,0.04,1.17
"Smucker, Lloyd K.",0,0,0,2.0,2.2
"Spanberger, Abigail",0,0.33,0,0,0.67
"Spartz, Victoria",0,5.0,1.0,1.0,8.0
"Steube, William G.",0,1.33,0,0.33,2.0
"Suozzi, Thomas",0,3.2,3.8,0.6,7.8
"Taylor, Nicholas V.",0.33,0,6.33,0,7.0
"Timmons, William R.",0,1.33,4.33,0,6.0
"Trahan, Lori",0,0,0.33,0,0.67
"Trone, David",0,0.33,3.33,0.33,4.33
"Upton, Fred",0.03,0.26,0.26,0,0.57
"Visclosky, Peter J.",0,0,0,0.03,0.06
"Wagner, Ann",0,1.22,0,0,1.33
"Waltz, Michael",0,0.33,0.67,0,1.33
"Welch, Peter",0,0.53,2.4,0.27,3.27
"Wittman, Robert J.",0,2.0,1.33,0.2,3.6
"Yarmuth, John A.",0,3.0,0.67,3.07,6.8
