official,Exchange,Purchase,Sale (Full),Sale (Partial),total
"Feinstein, Dianne",0,0,0,0,29
"Fleischmann, Charles J.",0,39,35,0,74
"Flores, Bill",0,2,1,0,3
"Foxx, Virginia",0,128,11,1,140
"Frankel, Lois",1,145,36,109,291
"Franklin, Scott",1,3,10,2,16
"Gaetz, Matt",1,0,2,0,3
"Gallagher, Michael J.",0,0,37,1,38
"Garbarino, Andrew",0,5,7,1,13
"Garcia, Mike",1,17,19,6,43
"Gianforte, Greg",0,313,55,129,497
"Gibbs, Bob",0,23,13,1,37
"Gonzalez, Anthony E.",0,3,3,0,6
"Gottheimer, Josh",2,391,163,335,891
"Graves, Garret",0,5,4,0,9
"Green, Mark",0,438,112,1,551
"Greene, Marjorie T.",0,74,14,0,88
"Grijalva, Raúl M.",0,2,2,0,4
"Guest, Michael P.",0,3,1,0,4
"Hagedorn, James",0,0,1,0,1
"Hagerty IV, William F.",1,9,10,8,28
"Hern, Kevin",18,320,21,1,360
"Hickenlooper, John W.",1,7,10,3,21
"Higgins, Brian",0,1,2,0,3
"Hill, James F.",0,4,5,0,9
"Hoeven, John",6,142,59,7,226
"Holding, George",0,0,13,0,13
"Hollen, Chris V.",0,0,7,0,7
"Hollingsworth, Trey",0,42,2,0,44
"Huizenga, Bill",0,1,0,0,1
"Inhofe, James M.",0,85,87,57,230
"Jacobs, Christopher L.",2,20,44,20,86
"Jacobs, Sara",0,8,52,3,63
"Jeffries, Hakeem S.",0,4,1,2,7
"Johnson, Ron",0,0,2,0,2
"Joyce, David P.",0,33,13,0,46
"Kaine, Timothy M.",2,0,1,0,3
"Keating, William R.",0,61,3,0,64
"Kelly, Mike",0,8,6,0,14
"Kennedy, John N.",1,1,0,0,2
"Kennedy, Joseph P.",0,0,2,0,2
"Khanna, Rohit",2,217,24,54,297
"King Jr., Angus S.",2,25,39,11,85
"Kinzinger, Adam",0,14,9,1,24
"Krishnamoorthi, S. R.",1,0,0,0,1
"Kustoff, David",0,6,3,0,9
"Lamborn, Doug",0,58,50,0,108
"Langevin, James R.",0,85,63,22,170
"Larson, John B.",0,0,34,0,34
"Latta, Robert E.",0,1,0,0,1
"Lee, Susie",1,339,138,142,620
"Loeffler, Kelly",1,98,125,55,279
"Lofgren, Zoe",1,106,76,1,184
"Long, Billy",0,0,28,0,28
"Lowenthal, Alan S.",12,246,97,229,584
"Lummis, Cynthia M.",0,2,0,0,2
"Luria, Elaine",0,3,1,0,4
"Malinowski, Tom",0,61,29,36,126
"Maloney, Carolyn B.",0,4,1,2,7
"Maloney, Sean P.",0,0,8,0,8
"Manchin III, Joseph",0,12,0,0,12
"Manning, Kathy",0,38,2,28,68
"Marchant, Kenny",0,70,39,0,109
"Marshall, Roger W.",0,21,16,1,38
"Massie, Thomas",0,0,0,1,1
"Mast, Brian",0,19,14,4,37
"Matsui, Doris O.",0,6,9,0,15
"McCaul, Michael T.",0,213,183,2,398
"McConnell Jr., A. M.",0,17,3,2,22
"McEachin, Aston D.",0,6,0,0,6
"McHenry, Patrick T.",0,0,1,0,1
"McKinley, David B.",3,80,33,32,148
"Meijer, Peter",0,18,201,47,266
"Meng, Grace",1,0,0,0,1
"Meuser, Daniel",0,0,5,5,10
"Miller, Carol D.",0,24,18,0,42
"Moore, Blake",0,90,21,0,111
"Moore, Felix B.",0,5,0,1,6
"Moran, Jerry",1,95,33,45,174
"Morelle, Joseph D.",1,0,16,0,17
"Moulton, Seth",0,1,1,0,2
"Murray, Patty",0,78,83,0,161
"Newhouse, Dan",0,0,1,0,1
"Newman, Marie",0,146,150,0,296
"Norton, Eleanor H.",0,2,2,0,4
"O'Halleran, Tom",0,0,2,0,2
"Pallone, Frank",0,0,6,4,10
"Pascrell, Bill",0,0,3,0,3
"Paul, Rand",0,1,0,0,1
"Pelosi, Nancy",0,41,5,11,57
"Perdue Jr., David A.",14,1269,259,1055,2597
"Perlmutter, Ed",0,21,9,17,47
"Peters, Gary C.",11,121,9,2,143
"Peters, Scott H.",0,29,45,27,101
"Pfluger, August L.",2,6,4,0,12
"Phillips, Dean",3,268,85,158,514
"Pingree, Chellie",0,2,1,2,5
"Portman, Robert J.",0,0,9,0,11
"Price, David E.",3,11,1,0,15
"Raskin, Jamie",0,0,1,0,1
"Reed, Jack",0,0,0,0,1
"Reed, John F.",2,104,86,48,250
"Rice, Tom",0,2,9,0,11
"Roberts, Pat",0,284,157,17,477
"Roe, David P.",0,17,2,0,19
"Rogers, Harold D.",2,10,8,0,20
"Rooney, Francis",0,40,17,3,60
"Rosen, Jacklyn S.",5,0,1,0,6
"Ross, Deborah K.",0,19,0,1,20
"Rouda, Harley E.",0,2,5,0,7
"Rounds, Mike",0,9,1,0,10
"Rouzer, David C.",0,4,3,4,11
"Rutherford, John",0,20,28,0,48
"Sanchez, Linda T.",0,0,5,0,5
"Schiff, Adam B.",0,0,3,1,4
"Schneider, Bradley S.",0,0,0,7,7
"Schrader, Kurt",0,132,127,1,260
"Schrier, Kim",0,3,31,0,34
"Schultz, Debbie W.",0,10,0,0,10
"Scott, Austin",0,40,30,5,75
"Scott, Rick",4,143,22,0,169
"Scott, Robert C.",0,0,17,0,17
"Sessions, Pete",0,37,2,0,39
"Shaheen, Jeanne",0,3,0,0,3
"Shalala, Donna",1,173,317,76,567
"Shelby, Richard C.",0,0,0,0,1
"Sherrill, Mikie",0,24,136,1,161
"Simpson, Michael K.",0,7,19,1,27
"Smith, Tina",0,6,7,11,24
"Smucker, Lloyd K.",0,0,0,11,11
"Spanberger, Abigail",0,2,0,0,2
"Spartz, Victoria",0,5,2,1,8
"Steube, William G.",0,5,0,1,6
"Sullivan, Daniel S.",0,6,4,17,27
"Suozzi, Thomas",0,16,20,3,39
"Taylor, Nicholas V.",1,0,20,0,21
"Thune, John R.",1,0,0,0,1
"Tillis, Thomas R.",0,0,96,3,99
"Timmons, William R.",0,4,14,0,18
"Toomey, Patrick J.",12,83,45,58,206
"Trahan, Lori",0,0,2,0,2
"Trone, David",0,1,10,2,13
"Tuberville, Thomas H.",0,122,154,3,279
"Udall, Thomas S.",0,0,1,1,3
"Upton, Fred",1,9,10,0,20
"Visclosky, Peter J.",0,0,0,2,2
"Wagner, Ann",0,12,0,0,12
"Waltz, Michael",0,2,2,0,4
"Warner, Mark R.",0,16,27,6,98
"Warren, Elizabeth",0,0,0,0,1
"Welch, Peter",0,8,37,4,49
"Whitehouse, Sheldon",13,384,188,90,693
"Wicker, Roger F.",0,2,5,1,8
"Wittman, Robert J.",0,31,20,3,54
"Wyden, Ronald L.",0,221,38,2,262
"Yarmuth, John A.",0,45,11,46,102
